Degrees,ECE,Mean CCE,Test Accuracy
0,0.08734509573727843,[0.26055994629859924],0.9944072365760803
15,0.08420400944650178,[0.2664013206958771],0.979315459728241
30,0.04826420133262872,[0.32195746898651123],0.8787546753883362
45,0.09125455351620915,[0.44527557492256165],0.6528829336166382
60,0.26923260940611365,[0.5700040459632874],0.40712326765060425
75,0.3594629929721355,[0.6194721460342407],0.28560566902160645
90,0.4649723817020655,[0.6735495328903198],0.2056821882724762
105,0.48258222689330577,[0.6940624713897705],0.21103008091449738
120,0.4523772633567452,[0.6741940379142761],0.2571198344230652
135,0.4066165323585272,[0.6337123513221741],0.3194763958454132
150,0.386011836668849,[0.617754340171814],0.3663102686405182
165,0.38929144846498964,[0.613838255405426],0.39074277877807617
180,0.39577264504432674,[0.6068929433822632],0.4086795151233673
