Dataset,Model,Mean CCE,CCE (std),Mean ECE,ECE (std),Mean MAE,MAE (std),Mean NLL,NLL (std)
AAF,Poisson ,0.053,0.004,0.038,0.007,5.325,0.120,3.334,0.025
AAF,NB,0.055,0.006,0.034,0.005,5.248,0.076,3.340,0.024
AAF,Gaussian,0.052,0.004,0.033,0.002,5.606,0.102,3.428,0.033
AAF,Stirn,0.067,0.005,0.099,0.002,5.302,0.072,4.606,0.048
AAF,Immer,0.077,0.006,0.037,0.002,6.773,0.090,3.553,0.026
AAF,Seitzer,0.062,0.004,0.119,0.006,3.254,0.076,3.066,0.039
AAF,DDPN,0.070,0.006,0.025,0.006,6.207,0.116,3.397,0.015
EVA,Gaussian,0.171,0.011,0.179,0.010,0.779,0.014,1.526,0.035
EVA,Stirn,0.131,0.009,0.121,0.009,0.738,0.017,1.407,0.040
EVA,Immer,0.116,0.007,0.121,0.011,0.634,0.015,1.163,0.024
EVA,Seitzer,0.113,0.008,0.109,0.007,0.728,0.016,1.609,0.070
FG-NET,Poisson ,0.160,0.019,0.053,0.018,4.584,0.388,3.077,0.129
FG-NET,NB,0.150,0.021,0.039,0.010,3.577,0.237,2.783,0.132
FG-NET,Gaussian,0.279,0.036,0.086,0.013,8.600,0.829,3.423,0.049
FG-NET,Stirn,0.188,0.026,0.118,0.023,4.451,0.345,3.416,0.130
FG-NET,Immer,0.185,0.027,0.097,0.021,6.152,0.349,3.877,0.250
FG-NET,Seitzer,0.183,0.018,0.094,0.014,4.332,0.290,3.849,0.301
FG-NET,DDPN,0.257,0.035,0.234,0.016,5.525,0.373,3.761,0.129
COCO-People,Gaussian,0.030,0.004,0.044,0.002,1.149,0.016,1.707,0.104
COCO-People,NB,0.056,0.002,0.084,0.003,1.167,0.013,1.767,0.011
COCO-People,Poisson ,0.053,0.002,0.082,0.003,1.121,0.015,1.792,0.013
COCO-People,Stirn,0.052,0.003,0.070,0.003,1.070,0.013,1.928,0.023
COCO-People,Immer,0.040,0.002,0.085,0.003,1.164,0.016,1.645,0.057
COCO-People,Seitzer,0.023,0.003,0.044,0.003,1.057,0.015,1.848,0.071
COCO-People,DDPN,0.022,0.002,0.250,0.002,1.203,0.013,1.703,0.106
